state_name,district_name,location,latitude,longitude
Andhra Pradesh,Anantapur,"Anantapur, Andhra Pradesh, India",14.72422,77.4306738
Andhra Pradesh,Krishna,"Krishna, Andhra Pradesh, India",16.21277,81.0306958
Andhra Pradesh,West Godavari,"West Godavari, Andhra Pradesh, India",16.6443028,81.5885247
Telangana,Adilabad,"Adilabad, Telangana, India",19.6759452,78.5339895
Andhra Pradesh,Chittoor,"Chittoor, Andhra Pradesh, India",13.2026484,79.0032253
Andhra Pradesh,East Godavari,"East Godavari, Andhra Pradesh, India",16.9956638,81.7154378
Andhra Pradesh,Guntur,"Guntur, Andhra Pradesh, India",16.2915189,80.4541588
Andhra Pradesh,Kadapa,"Kadapa, Andhra Pradesh, India",14.4752936,78.8216861
Andhra Pradesh,Karimnagar,"Karimnagar, Andhra Pradesh, India",18.438555,79.128838
Andhra Pradesh,Khammam,"Khammam, Andhra Pradesh, India",17.0734741,81.3420391
Andhra Pradesh,Kurnool,"Kurnool, Andhra Pradesh, India",15.8309251,78.0425373
Telangana,Mahabubnagar,"Mahabubnagar, Telangana, India",16.6965686,77.9591146
Andhra Pradesh,Medak,"Medak, Andhra Pradesh, India",18.045992,78.263359
Andhra Pradesh,Nalgonda,"Nalgonda, Andhra Pradesh, India",17.05662,79.268333
Andhra Pradesh,Nizamabad,"Nizamabad, Andhra Pradesh, India",18.3015062,84.0232082
Andhra Pradesh,Prakasam,"Prakasam, Andhra Pradesh, India",15.6642643,79.4733001
Andhra Pradesh,Sri Potti Sriramulu Nellore,"Sri Potti Sriramulu Nellore, Andhra Pradesh, India",14.7174388,79.6605057
Andhra Pradesh,Srikakulam,"Srikakulam, Andhra Pradesh, India",18.2949307,83.8938844
Andhra Pradesh,Vizianagaram,"Vizianagaram, Andhra Pradesh, India",18.1141255,83.4114389
Andhra Pradesh,Warangal,"Warangal, Andhra Pradesh, India",18.0,79.83333
Arunachal Pradesh,Anjaw,"Anjaw, Arunachal Pradesh, India",28.1114301,96.8269996
Arunachal Pradesh,Changlang,"Changlang, Arunachal Pradesh, India",27.272007,96.065526
Arunachal Pradesh,Dibang Valley,"Dibang Valley, Arunachal Pradesh, India",28.8291044,95.9554096
Arunachal Pradesh,East Kameng,"East Kameng, Arunachal Pradesh, India",27.557781,92.9673843
Arunachal Pradesh,East Siang,"East Siang, Arunachal Pradesh, India",28.0742219,95.4178149
Arunachal Pradesh,Kurung Kumey,"Kurung Kumey, Arunachal Pradesh, India",27.9863676,93.1578347
Arunachal Pradesh,Lohit,"Lohit, Arunachal Pradesh, India",28.0350161,96.1713515
Arunachal Pradesh,Lower Dibang Valley,"Lower Dibang Valley, Arunachal Pradesh, India",28.2149563,95.878774
Arunachal Pradesh,Lower Subansiri,"Lower Subansiri, Arunachal Pradesh, India",27.5326327,93.7823245
Arunachal Pradesh,Papum Pare,"Papum Pare, Arunachal Pradesh, India",27.2863666,93.6187716
Arunachal Pradesh,Tawang,"Tawang, Arunachal Pradesh, India",27.6741942,91.9362059
Arunachal Pradesh,Tirap,"Tirap, Arunachal Pradesh, India",27.030169,95.4979175
Arunachal Pradesh,Upper Siang,"Upper Siang, Arunachal Pradesh, India",28.7312046,95.0377315
Arunachal Pradesh,Upper Subansiri,"Upper Subansiri, Arunachal Pradesh, India",28.2596054,94.0938106
Arunachal Pradesh,West Siang,"West Siang, Arunachal Pradesh, India",28.1970922,94.48407
Assam,Baksa,"Baksa, Assam, India",26.6275689,91.3388551
Assam,Barpeta,"Barpeta, Assam, India",26.345941,91.039708
Assam,Bongaigaon,"Bongaigaon, Assam, India",26.4800126,90.5580387
Assam,Cachar,"Cachar, Assam, India",24.75864,92.8816648
Assam,Chirang,"Chirang, Assam, India",26.6464231,90.624157
Assam,Darrang,"Darrang, Assam, India",26.4373481,92.0047145
Assam,Dhemaji,"Dhemaji, Assam, India",27.5945155,94.7192098
Assam,Dhubri,"Dhubri, Assam, India",26.132275,90.1249962
Assam,Dibrugarh,"Dibrugarh, Assam, India",27.4844597,94.9019447
Assam,Dima Hasao,"Dima Hasao, Assam, India",25.4003625,93.0752292
Assam,Goalpara,"Goalpara, Assam, India",26.0491877,90.6001859
Assam,Golaghat,"Golaghat, Assam, India",26.5108262,93.9743686
Assam,Hailakandi,"Hailakandi, Assam, India",24.6846916,92.5645836
Assam,Jorhat,"Jorhat, Assam, India",26.7577925,94.2079645
Assam,Kamrup,"Kamrup, Assam, India",26.146886,91.2227397
Assam,Kamrup Metro,"Kamrup Metro, Assam, India",26.1161783,91.7972485
Assam,Karbi Anglong,"Karbi Anglong, Assam, India",26.0,93.5
Assam,Karimganj,"Karimganj, Assam, India",24.5828195,92.3725486
Assam,Kokrajhar,"Kokrajhar, Assam, India",26.4912103,90.1215209
Assam,Lakhimpur,"Lakhimpur, Assam, India",27.1763356,94.1992932
Assam,Marigaon,"Marigaon, Assam, India",26.290712,92.2922184
Assam,Nagaon,"Nagaon, Assam, India",26.3313646,92.7524763
Assam,Nalbari,"Nalbari, Assam, India",26.3533631,91.3983662
Assam,Sivasagar,"Sivasagar, Assam, India",26.9834936,94.6394226
Assam,Sonitpur,"Sonitpur, Assam, India",26.7677707,92.7014089
Assam,Tinsukia,"Tinsukia, Assam, India",27.4879722,95.3601855
Assam,Udalguri,"Udalguri, Assam, India",26.7047237,92.0421507
Bihar,Araria,"Araria, Bihar, India",26.2651013,87.3699437
Bihar,Arwal,"Arwal, Bihar, India",25.1812831,84.6596648
Bihar,Aurangabad,"Aurangabad, Bihar, India",24.80332,84.4110198
Bihar,Banka,"Banka, Bihar, India",24.8328273,86.8161114
Bihar,Begusarai,"Begusarai, Bihar, India",25.5125411,86.0883392
Bihar,Bhagalpur,"Bhagalpur, Bihar, India",25.2861354,87.1304229
Bihar,Bhojpur,"Bhojpur, Bihar, India",25.4501182,84.5635193
Bihar,Buxar,"Buxar, Bihar, India",25.5044834,84.1097525
Bihar,Darbhanga,"Darbhanga, Bihar, India",26.0829899,86.0324951
Bihar,Gaya,"Gaya, Bihar, India",24.6793889,85.0115833
Bihar,Gopalganj,"Gopalganj, Bihar, India",26.4211166,84.3739133
Bihar,Jamui,"Jamui, Bihar, India",24.7562513,86.3011128
Bihar,Jehanabad,"Jehanabad, Bihar, India",25.1529578,85.0065043
Bihar,Kaimur (Bhabua),"Kaimur (Bhabua), Bihar, India",25.0402736,83.6076361
Bihar,Katihar,"Katihar, Bihar, India",25.5586421,87.6457196
Bihar,Khagaria,"Khagaria, Bihar, India",25.4930513,86.6982264
Bihar,Kishanganj,"Kishanganj, Bihar, India",26.2984144,87.9466715
Bihar,Lakhisarai,"Lakhisarai, Bihar, India",25.1543938,86.1744959
Bihar,Madhepura,"Madhepura, Bihar, India",25.7806118,86.9364753
Bihar,Madhubani,"Madhubani, Bihar, India",26.3503076,86.2296424
Bihar,Munger,"Munger, Bihar, India",25.2202864,86.5161484
Bihar,Muzaffarpur,"Muzaffarpur, Bihar, India",26.1482548,85.3316097
Bihar,Nalanda,"Nalanda, Bihar, India",25.1364914,85.4436546
Bihar,Nawada,"Nawada, Bihar, India",24.8173249,85.5179085
Bihar,Pashchim Champaran,"Pashchim Champaran, Bihar, India",27.0,84.5
Bihar,Patna,"Patna, Bihar, India",25.6093239,85.1235252
Bihar,Purbi Champaran,"Purbi Champaran, Bihar, India",26.6465969,84.9091552
Bihar,Purnia,"Purnia, Bihar, India",25.7758723,87.4087667
Bihar,Rohtas,"Rohtas, Bihar, India",24.9394142,84.0197031
Bihar,Saharsa,"Saharsa, Bihar, India",25.8330757,86.6143751
Bihar,Samastipur,"Samastipur, Bihar, India",25.7747884,85.8672314
Bihar,Saran,"Saran, Bihar, India",25.9214451,84.7759731
Bihar,Sheikhpura,"Sheikhpura, Bihar, India",25.1250741,85.8160771
Bihar,Sheohar,"Sheohar, Bihar, India",26.4934234,85.2717561
Bihar,Sitamarhi,"Sitamarhi, Bihar, India",26.5942841,85.500428
Bihar,Siwan,"Siwan, Bihar, India",26.131008,84.3910745
Bihar,Supaul,"Supaul, Bihar, India",26.2768089,86.7959614
Bihar,Vaishali,"Vaishali, Bihar, India",25.7491702,85.3972164
Chhattisgarh,Bastar,"Bastar, Chhattisgarh, India",19.1191282,81.8291865
Chhattisgarh,Bijapur,"Bijapur, Chhattisgarh, India",18.7935679,80.815939
Chhattisgarh,Bilaspur,"Bilaspur, Chhattisgarh, India",22.1638486,82.1365923
Chhattisgarh,Dakshin Bastar Dantewada,"Dakshin Bastar Dantewada, Chhattisgarh, India",18.74979,81.7525
Chhattisgarh,Dhamtari,"Dhamtari, Chhattisgarh, India",20.5326259,81.7155987
Chhattisgarh,Durg,"Durg, Chhattisgarh, India",21.1982964,81.4007922
Chhattisgarh,Janjgir-Champa,"Janjgir-Champa, Chhattisgarh, India",21.986403,82.5536606
Chhattisgarh,Jashpur,"Jashpur, Chhattisgarh, India",22.770251,83.9708013
Chhattisgarh,Kabirdham,"Kabirdham, Chhattisgarh, India",22.1150085,81.2446944
Chhattisgarh,Kanker,"Kanker, Chhattisgarh, India",20.2692747,81.4932111
Chhattisgarh,Korba,"Korba, Chhattisgarh, India",22.5198217,82.6350029
Chhattisgarh,Korea,"Korea, Chhattisgarh, India",23.2382999,82.3906588
Chhattisgarh,Mahasamund,"Mahasamund, Chhattisgarh, India",21.1922846,82.4890263
Chhattisgarh,Narayanpur,"Narayanpur, Chhattisgarh, India",19.5842032,81.1136986
Chhattisgarh,Raigarh,"Raigarh, Chhattisgarh, India",22.2361795,83.3529534
Chhattisgarh,Raipur,"Raipur, Chhattisgarh, India",21.2380912,81.6336993
Chhattisgarh,Rajnandgaon,"Rajnandgaon, Chhattisgarh, India",21.0684424,80.7970779
Chhattisgarh,Surguja,"Surguja, Chhattisgarh, India",22.9469135,83.1656942
The Dadra And Nagar Haveli And Daman And Diu,Surguja,"Surguja, The Dadra And Nagar Haveli And Daman And Diu, India",22.89624,83.09631
Goa,North Goa,"North Goa, Goa, India",15.6044413,74.0017241
Gujarat,Ahmadabad,"Ahmadabad, Gujarat, India",23.0215374,72.5800568
Gujarat,Amreli,"Amreli, Gujarat, India",21.4176122,71.249609
Gujarat,Anand,"Anand, Gujarat, India",22.5586555,72.9627227
Gujarat,Banas Kantha,"Banas Kantha, Gujarat, India",24.25,72.5
Gujarat,Bharuch,"Bharuch, Gujarat, India",21.7080427,72.9956936
Gujarat,Bhavnagar,"Bhavnagar, Gujarat, India",21.7718836,72.1416449
Gujarat,Dang,"Dang, Gujarat, India",20.7881718,73.7092033
Gujarat,Gandhinagar,"Gandhinagar, Gujarat, India",23.2232877,72.6492267
Gujarat,Jamnagar,"Jamnagar, Gujarat, India",22.4732415,70.0552102
Gujarat,Junagadh,"Junagadh, Gujarat, India",21.5220416,70.4582458
Gujarat,Kachchh,"Kachchh, Gujarat, India",23.583333,70.0
Gujarat,Kheda,"Kheda, Gujarat, India",22.8532503,72.9953586
Gujarat,Mahesana,"Mahesana, Gujarat, India",23.6015557,72.3867981
Gujarat,Narmada,"Narmada, Gujarat, India",21.7392624,73.6262458
Gujarat,Navsari,"Navsari, Gujarat, India",20.952407,72.9323831
Gujarat,Patan,"Patan, Gujarat, India",23.773753,71.6798581
Gujarat,Porbandar,"Porbandar, Gujarat, India",21.6409,69.611
Gujarat,Rajkot,"Rajkot, Gujarat, India",22.3053263,70.8028377
Gujarat,Sabar Kantha,"Sabar Kantha, Gujarat, India",23.5,73.25
Gujarat,Surat,"Surat, Gujarat, India",21.2094892,72.8317058
Gujarat,Surendranagar,"Surendranagar, Gujarat, India",22.8251395,71.6209736
Gujarat,Tapi,"Tapi, Gujarat, India",21.1916567,73.5560631
Gujarat,Vadodara,"Vadodara, Gujarat, India",22.2973142,73.1942567
Gujarat,Valsad,"Valsad, Gujarat, India",20.4321957,73.1409893
Haryana,Ambala,"Ambala, Haryana, India",30.3843674,76.770421
Haryana,Bhiwani,"Bhiwani, Haryana, India",28.7931703,76.1391283
Haryana,Fatehabad,"Fatehabad, Haryana, India",29.5359209,75.5752901
Haryana,Gurgaon,"Gurgaon, Haryana, India",28.4646148,77.0299194
Haryana,Hisar,"Hisar, Haryana, India",29.2396596,75.8174505
Haryana,Jhajjar,"Jhajjar, Haryana, India",28.5964461,76.6505366
Haryana,Jind,"Jind, Haryana, India",29.3152073,76.314082
Haryana,Kaithal,"Kaithal, Haryana, India",29.7996588,76.3989903
Haryana,Karnal,"Karnal, Haryana, India",29.7255766,76.9106924
Haryana,Kurukshetra,"Kurukshetra, Haryana, India",29.9693747,76.8482787
